Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,F,I,M,Length_discretized,Diameter_discretized,Height_discretized,Whole weight_discretized,Shucked weight_discretized,Viscera weight_discretized,Shell weight_discretized,Rings_discretized,Length_z_score,Diameter_z_score,Height_z_score,Whole weight_z_score,Shucked weight_z_score,Viscera weight_z_score,Shell weight_z_score,Rings_z_score,prediction
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.4695076047662052,-1.46160554269951,-1.1888883719632097,-1.2444626449791283,-1.1825077403650353,-1.217242119792072,-1.2277284466068397,-0.9230576490519122,9
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,0,0,1,"(0.074, 0.45]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.7186779158494144,-0.4516814162950499,-0.3594847533927493,-0.6537373484533605,-0.6622937326023619,-0.6226939034242651,-0.6189306887329777,0.008608540048318068,9
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.234, 0.329]","(11.0, 29.0]",0.1572900545535081,0.15427305954762632,-0.3594847533927493,-0.14130094664787518,-0.3102523566595183,-0.30045784722491936,0.13311360040532258,1.8719409182487787,9
M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(8.0, 9.0]",-0.42668859238177387,-0.4011852099748268,-0.3594847533927493,-0.6669549540554862,-0.6578091290871665,-0.6363095114326882,-0.5473074231007585,-0.3019468563184254,9
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.186, 0.336]","(0.0934, 0.171]","(0.234, 0.329]","(11.0, 29.0]",0.19900281504888542,0.3057616785082955,0.2329464027290079,0.1159339931473386,-0.21831798459801124,-0.2868422392164963,0.562853194198637,2.803607107349009,9
F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(11.0, 29.0]",-0.009560987428001022,-0.30019279733438065,-0.004026059719694606,-0.4697076089160731,-0.7587127081790643,-0.31861199123615014,-0.22500272775577287,1.2508301255152918,9
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.13, 0.234]","(9.0, 11.0]",-0.802103436840169,-0.603170035255719,-0.7149434470658038,-0.8774199047970247,-0.877554701331744,-0.9222372796095725,-0.7621772199974157,0.008608540048318068,9
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.30155031089564205,-0.30019279733438065,-0.12251229094404618,-0.6018836649373294,-0.653324525571971,-0.7951582715309572,-0.36824925902021094,0.3191639364150615,9
F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.14, 0.165]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",0.07386453356275355,-0.04771176573326536,0.11446017150465632,-0.31109634169056577,-0.40667133223622054,-0.10530079910418863,-0.26081436057188245,0.008608540048318068,9
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.13, 0.234]","(9.0, 11.0]",-0.4684013528771512,-0.552673828935496,-0.9519159095145066,-0.7360931987435279,-0.877554701331744,-0.9267758156123802,-0.4040608918363205,0.008608540048318068,9
M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.234, 0.329]","(11.0, 29.0]",-0.21812478990488746,-0.09820797205348843,-0.24099852216839776,-0.3517658973894139,-0.47169808320655476,-0.4502295353175729,-0.010132930859115692,0.6297193327818049,9
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.427794844270828,-1.3101169237388408,-1.307374603187561,-1.1122865889578724,-1.202688456183415,-1.2989357678426106,-0.905423751261854,-0.9230576490519122,9
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,1,0,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(-0.0005, 0.0934]","(0.0005, 0.13]","(9.0, 11.0]",-0.7186779158494144,-0.7041624478961646,-0.9519159095145066,-0.7859134044746167,-0.7856203292702371,-0.8677748475758803,-0.7979888528135254,0.008608540048318068,9
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.3443693232800733,-1.1586283047781722,-1.4258608344119126,-1.1834583114308563,-1.1937192491530242,-1.2671660158229567,-1.0128586497101826,-0.9230576490519122,9
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(8.0, 9.0]",-0.6352523948586599,-0.9061472731770569,-0.9519159095145066,-0.9282568494205848,-0.8641008907861576,-0.9766997116432647,-0.905423751261854,-0.3019468563184254,9
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(9.0, 11.0]",-1.2192310417939414,-1.3606131300590638,-0.9519159095145066,-1.2444626449791283,-1.2699575089113468,-1.2127035837892643,-1.120293548158511,0.008608540048318068,9
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.3241410965350163,0.3057616785082955,0.3514326339533595,0.20744049346974677,0.28844221261907577,0.28501329713727236,0.2047368660375417,0.6297193327818049,9
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,1,0,0,"(0.545, 0.615]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.171, 0.253]","(0.13, 0.234]","(8.0, 9.0]",0.19900281504888542,0.05328064690718021,-0.12251229094404618,-0.1504515966801161,-0.20262187229482712,0.2487050091148108,-0.29662599338799184,-0.3019468563184254,9
F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",0.7412687014887892,0.7097313290700794,0.5884050964020626,0.65887256172696,0.6718758131682878,1.07471856162581,0.45541829575030823,0.008608540048318068,9
F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(9.0, 11.0]",0.28242833603963996,0.3057616785082955,-0.004026059719694606,0.18507223783538032,0.08663505443528012,0.04900942499127263,0.4196066629341987,0.3191639364150615,9
F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",0.4492793780211482,0.4067540911487416,1.0623500212994683,0.3213152494265214,0.1404502966176257,0.8114834734629643,0.31217176448587,0.3191639364150615,9
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.5327048990119028,0.35625788482851856,-0.004026059719694606,0.19015593229773645,-0.03220693871739971,0.46655473724958,0.2763601316697608,0.6297193327818049,9
M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.6578431804980347,0.6592351227498564,0.9438637900751167,0.20134006011491956,0.13820799486002797,0.3303986571653493,0.38379503011808913,1.5613855218820354,9
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,0,0,1,"(0.545, 0.615]","(0.35, 0.425]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.13, 0.234]","(9.0, 11.0]",0.40756661752577095,0.15427305954762632,-0.004026059719694606,0.052896181814124296,0.1337233913448325,0.40301523321027233,-0.29662599338799184,0.3191639364150615,9
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.329, 1.005]","(9.0, 11.0]",0.4492793780211482,0.6087389164296333,0.5884050964020626,0.3253822049964062,0.13596569310243023,0.5391713132945029,0.6344764598308561,0.008608540048318068,9
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.283534587928694,1.5176706301936485,0.5884050964020626,1.6298582040369571,1.0867016383238681,0.8886385855106951,1.565578913049704,1.5613855218820354,9
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.1583963064425622,1.164197185952087,0.5884050964020626,1.0177813907692943,0.8445330485033129,1.5875731299430786,0.777722991095294,2.4930517109822654,9
F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.283534587928694,1.4166782175532022,0.8253775588507651,1.9531811718427992,2.0262260747573166,1.905270650139617,1.5297672802335944,2.803607107349009,9
