Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,F,I,M,Length_discretized,Diameter_discretized,Height_discretized,Whole weight_discretized,Shucked weight_discretized,Viscera weight_discretized,Shell weight_discretized,Rings_discretized,Length_z_score,Diameter_z_score,Height_z_score,Whole weight_z_score,Shucked weight_z_score,Viscera weight_z_score,Shell weight_z_score,Rings_z_score,prediction
0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.449222352909233,-1.441533195875055,-1.262049907596711,-1.227790281462779,-1.1641505425335994,-1.2041309986614586,-1.2124359289932964,-0.916801183533873,9
0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(8.0, 9.0]",0.04771368567838381,0.12019683630366221,-0.11345813017264376,-0.31285457278106626,-0.4653924834172605,-0.3608957933834017,-0.20907675303553788,-0.2930367881835652,9
0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,0,0,1,"(0.074, 0.45]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.7007543336154246,-0.4339654331791084,-0.3687007473779922,-0.6391107169621423,-0.6478707026769415,-0.6102395368796012,-0.6032535721618001,0.018845409491588694,9
0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.14, 0.165]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.329, 1.005]","(11.0, 29.0]",0.04771368567838381,0.06981844816886482,0.2694057956353782,-0.10919778712766193,-0.5521809047724747,-0.3608957933834017,0.6509453977853982,3.1376673862431277,9
0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.234, 0.329]","(11.0, 29.0]",0.17245835556068528,0.17057522443845957,-0.3687007473779922,-0.12844892607002345,-0.298491673118772,-0.28835943163905264,0.14926580980651888,1.890138595542512,9
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.186, 0.336]","(0.0934, 0.171]","(0.234, 0.329]","(11.0, 29.0]",0.2140399121881191,0.32171038884285175,0.2694057956353782,0.12789518721510748,-0.20725256348893148,-0.27475886381198716,0.5792768852169868,2.825785188567974,9
0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(11.0, 29.0]",0.006132129050949989,-0.2828302687747163,0.014163178430030454,-0.45571828809017095,-0.7435605005814082,-0.3064935220751399,-0.20907675303553788,1.2663742001922043,9
0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.13, 0.234]","(9.0, 11.0]",-0.7839174468702922,-0.5851005975835005,-0.7515646731860145,-0.8620186415579083,-0.8615037398590069,-0.9094520290750409,-0.7465905972986226,0.018845409491588694,9
0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.2849387673410868,-0.2828302687747163,-0.11345813017264376,-0.5874366071694874,-0.6389693261276888,-0.7825133960224301,-0.35241377817236047,0.3307276071667426,9
0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.14, 0.165]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",0.08929524230581765,-0.03093832810072938,0.14178448703270397,-0.2976563051949914,-0.39418147102323864,-0.09341795945111454,-0.24491100931974358,0.018845409491588694,9
0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.13, 0.234]","(9.0, 11.0]",-0.4512649938508221,-0.5347222094487032,-1.0068072903913625,-0.7211813619269472,-0.8615037398590069,-0.9139855516840627,-0.38824803445656614,0.018845409491588694,9
0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.4076407962817992,-1.2903980314706627,-1.389671216199385,-1.096071962383463,-1.1841786397694185,-1.285734405623851,-0.8899276224354454,-0.916801183533873,9
0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,1,0,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(-0.0005, 0.0934]","(0.0005, 0.13]","(9.0, 11.0]",-0.7007543336154246,-0.6858573738530948,-1.0068072903913625,-0.7708290360414586,-0.7702646302291665,-0.8550497577667792,-0.7824248535828284,0.018845409491588694,9
