X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,X_discretized,Y_discretized,FFMC_discretized,DMC_discretized,DC_discretized,ISI_discretized,temp_discretized,RH_discretized,wind_discretized,rain_discretized,area_discretized,X_z_score,Y_z_score,FFMC_z_score,DMC_z_score,DC_z_score,ISI_z_score,temp_z_score,RH_z_score,wind_z_score,rain_z_score,area_z_score,prediction
7,5,2,4,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(18.698999999999998, 90.2]","(1.0990000000000002, 68.6]","(7.899, 437.7]","(-0.001, 6.5]","(2.1990000000000003, 15.5]","(42.0, 53.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",0.9965294675156371,0.56546418286358,-0.7494390480142659,-1.3047608997970723,-1.8041698591802953,-0.9411606599497689,-1.835234470154264,0.3921524487906236,1.4608963983663663,-0.07903156383822371,-0.19809932042602912,8.903381642512077
7,4,9,5,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(90.2, 91.6]","(1.0990000000000002, 68.6]","(664.2, 713.9]","(6.5, 8.4]","(2.1990000000000003, 15.5]","(14.999, 33.0]","(0.399, 2.7]","(-0.001, 6.4]","(-0.001, 0.52]",0.9965294675156371,-0.261751971572894,0.004178489861960095,-1.0300340801546624,0.571438298300673,-0.5452348240862308,-0.7304411652692872,-0.690990638083997,-1.4856752257655794,-0.07903156383822371,-0.19809932042602912,8.903381642512077
8,6,2,4,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,"(7.0, 9.0]","(5.0, 9.0]","(91.6, 92.9]","(1.0990000000000002, 68.6]","(7.899, 437.7]","(8.4, 10.8]","(2.1990000000000003, 15.5]","(53.0, 100.0]","(2.7, 4.0]","(-0.001, 6.4]","(-0.001, 0.52]",1.4267309269019497,1.392680337300054,0.19258287433101842,-1.1933003043992947,-1.871517508599263,0.02390856496760506,-1.817972074765436,3.160184781914654,-0.012389413699606602,0.5268770922548249,-0.19809932042602912,8.903381642512077
8,6,2,6,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,"(7.0, 9.0]","(5.0, 9.0]","(18.698999999999998, 90.2]","(1.0990000000000002, 68.6]","(7.899, 437.7]","(8.4, 10.8]","(2.1990000000000003, 15.5]","(53.0, 100.0]","(0.399, 2.7]","(-0.001, 6.4]","(-0.001, 0.52]",1.4267309269019497,1.392680337300054,-0.2184812372378339,-0.9107241470528159,-1.772500428798757,0.17238075341643172,-1.2828378177117754,3.280534013789612,-1.2128445198274365,-0.07903156383822371,-0.19809932042602912,8.903381642512077
8,6,7,6,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,"(7.0, 9.0]","(5.0, 9.0]","(91.6, 92.9]","(68.6, 108.3]","(437.7, 664.2]","(10.8, 56.1]","(19.3, 22.8]","(14.999, 33.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",1.4267309269019497,1.392680337300054,0.2953489022232303,-0.37696918317613387,-0.2259097653560339,1.434394355231459,0.5815008842816228,-0.9316891018339127,0.7515365629271943,-0.07903156383822371,-0.19809932042602912,8.903381642512077
8,6,7,0,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,"(7.0, 9.0]","(5.0, 9.0]","(91.6, 92.9]","(68.6, 108.3]","(437.7, 664.2]","(8.4, 10.8]","(22.8, 33.3]","(14.999, 33.0]","(2.7, 4.0]","(-0.001, 6.4]","(-0.001, 0.52]",1.4267309269019497,1.392680337300054,0.2953489022232303,-0.320453951706838,-0.1954429715712627,-0.09981825873975057,0.9094863966693507,-1.0520383337088706,-0.5034846843882642,-0.07903156383822371,-0.19809932042602912,8.903381642512077
8,6,8,1,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,"(7.0, 9.0]","(5.0, 9.0]","(90.2, 91.6]","(108.3, 142.4]","(664.2, 713.9]","(6.5, 8.4]","(2.1990000000000003, 15.5]","(53.0, 100.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",1.4267309269019497,1.392680337300054,0.0726891751234363,0.31691226986355286,0.5942883936392516,-0.47099872986181746,-0.9893770961017035,1.1142478400403706,0.7515365629271943,-0.07903156383822371,-0.19809932042602912,8.903381642512077
7,5,8,5,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(91.6, 92.9]","(68.6, 108.3]","(664.2, 713.9]","(6.5, 8.4]","(19.3, 22.8]","(33.0, 42.0]","(2.7, 4.0]","(-0.001, 6.4]","(-0.001, 0.52]",0.9965294675156371,0.56546418286358,0.3296042448539684,-0.334582759574162,0.6183411255745972,-0.4462533651203464,0.6850752566145897,-0.26976832652164456,-0.012389413699606602,-0.07903156383822371,-0.19809932042602912,8.903381642512077
7,5,8,5,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(91.6, 92.9]","(68.6, 108.3]","(664.2, 713.9]","(6.5, 8.4]","(15.5, 19.3]","(42.0, 53.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",0.9965294675156371,0.56546418286358,0.3296042448539684,-0.334582759574162,0.6183411255745972,-0.4462533651203464,-0.17804451282679853,0.3921524487906236,1.7337271043045095,-0.07903156383822371,-0.19809932042602912,8.903381642512077
7,5,8,5,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(91.6, 92.9]","(68.6, 108.3]","(664.2, 713.9]","(10.8, 56.1]","(15.5, 19.3]","(33.0, 42.0]","(2.7, 4.0]","(-0.001, 6.4]","(-0.001, 0.52]",0.9965294675156371,0.56546418286358,0.38098725880007434,-0.5669231556146,0.6760676822194266,3.3892781698076786,0.08089141800561792,-0.3901175583966024,-0.012389413699606602,-0.07903156383822371,-0.19809932042602912,8.903381642512077
