vendor name,Model Name,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP,MYCT_discretized,MMIN_discretized,MMAX_discretized,CACH_discretized,CHMIN_discretized,CHMAX_discretized,PRP_discretized,ERP_discretized,MYCT_z_score,MMIN_z_score,MMAX_z_score,CACH_z_score,CHMIN_z_score,CHMAX_z_score,PRP_z_score,ERP_z_score,prediction
amdahl,470v/7,29,8000,32000,32,8,32,269,253,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(8.0, 32.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6603892562849425,1.6225212733897811,2.048792293781657,0.3200147102169486,0.46347126706337805,0.8605828730119495,1.5842730166189063,1.6650265330822935,32
amdahl,470v/7a,29,8000,32000,32,8,32,220,253,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(8.0, 32.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6603892562849425,1.6225212733897811,2.048792293781657,0.3200147102169486,0.46347126706337805,0.8605828730119495,1.1429166415886587,1.6650265330822935,32
amdahl,470v/7b,29,8000,32000,32,8,32,172,253,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(8.0, 32.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6603892562849425,1.6225212733897811,2.048792293781657,0.3200147102169486,0.46347126706337805,0.8605828730119495,0.710567539518212,1.6650265330822935,32
amdahl,470v/7c,29,8000,16000,32,8,16,132,132,"(16.999, 50.0]","(4000.0, 32000.0]","(8000.0, 16000.0]","(8.0, 32.0]","(6.0, 52.0]","(8.0, 24.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6603892562849425,1.6225212733897811,0.47070025647526764,0.3200147102169486,0.46347126706337805,0.011535963445200399,0.35027662112617314,0.46252108743180936,32
amdahl,470v/b,26,8000,32000,64,8,32,318,290,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(32.0, 256.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.6711750409799557,1.6225212733897811,2.048792293781657,1.3641665702788355,0.46347126706337805,0.8605828730119495,2.025629391649154,2.03273480985145,32
amdahl,580-5840,23,16000,32000,64,16,32,367,381,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(32.0, 256.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.681960825674969,4.0873411599811496,2.048792293781657,1.3641665702788355,1.6048689572691734,0.8605828730119495,2.4669857666794015,2.9370984094728882,32
amdahl,580-5850,23,16000,32000,64,16,32,489,381,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(32.0, 256.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.681960825674969,4.0873411599811496,2.048792293781657,1.3641665702788355,1.6048689572691734,0.8605828730119495,3.56587306777512,2.9370984094728882,32
amdahl,580-5860,23,16000,64000,64,16,32,636,749,"(16.999, 50.0]","(4000.0, 32000.0]","(16000.0, 64000.0]","(32.0, 256.0]","(6.0, 52.0]","(24.0, 176.0]","(111.5, 1150.0]","(99.5, 1238.0]",-0.681960825674969,4.0873411599811496,5.204976368394436,1.3641665702788355,1.6048689572691734,0.8605828730119495,4.889942192865863,6.594305054095847,32
apollo,dn320,400,1000,3000,0,1,2,38,23,"(225.0, 1500.0]","(768.0, 2000.0]","(63.999, 4000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(-0.001, 5.0]","(27.0, 49.5]","(14.999, 28.0]",0.6734527843316975,-0.5341961273776662,-0.8114995238361736,-0.724137149844938,-0.535251711866693,-0.731380082425705,-0.49640703709511813,-0.6207276198070565,32
apollo,dn420,400,512,3500,4,1,6,40,24,"(225.0, 1500.0]","(63.999, 768.0]","(63.999, 4000.0]","(-0.001, 8.0]","(-0.001, 1.0]","(5.0, 8.0]","(27.0, 49.5]","(14.999, 28.0]",0.6734527843316975,-0.6845501404597397,-0.7621841476703489,-0.5936181673372022,-0.535251711866693,-0.5191183550340177,-0.4783924911755162,-0.6107895582727549,32
