X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,X_discretized,Y_discretized,FFMC_discretized,DMC_discretized,DC_discretized,ISI_discretized,temp_discretized,RH_discretized,wind_discretized,rain_discretized,area_discretized,X_z_score,Y_z_score,FFMC_z_score,DMC_z_score,DC_z_score,ISI_z_score,temp_z_score,RH_z_score,wind_z_score,rain_z_score,area_z_score,prediction
7,5,2,4,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(18.698999999999998, 90.2]","(1.0990000000000002, 68.6]","(7.899, 437.7]","(-0.001, 6.5]","(2.1990000000000003, 15.5]","(42.0, 53.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",0.9706333597685276,0.5596754935322165,-0.8064524343240567,-1.3071687174000104,-1.763826111039937,-0.8487717915273829,-1.8376722343650058,0.43261070280743646,1.4952637494046228,-0.059610551796353606,-0.19596394553190136,8.991647331786544
7,4,9,5,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(90.2, 91.6]","(1.0990000000000002, 68.6]","(664.2, 713.9]","(6.5, 8.4]","(2.1990000000000003, 15.5]","(14.999, 33.0]","(0.399, 2.7]","(-0.001, 6.4]","(-0.001, 0.52]",0.9706333597685276,-0.2749962632580439,-0.010368734125142252,-1.0354236117403883,0.5846349574938408,-0.49981034906790445,-0.7364262879664761,-0.6746785853417191,-1.5486239881658486,-0.059610551796353606,-0.19596394553190136,8.991647331786544
8,6,2,4,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,"(7.0, 9.0]","(5.0, 9.0]","(91.6, 92.9]","(1.0990000000000002, 68.6]","(7.899, 437.7]","(8.4, 10.8]","(2.1990000000000003, 15.5]","(53.0, 100.0]","(2.7, 4.0]","(-0.001, 6.4]","(-0.001, 0.52]",1.3975139496259106,1.394347250322477,0.1886521909245883,-1.196917845960964,-1.8304041501073811,0.0018217244675957553,-1.8204652664525285,3.262349994744167,-0.026680119380612804,0.5826931438093566,-0.19596394553190136,8.991647331786544
8,6,2,6,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,"(7.0, 9.0]","(5.0, 9.0]","(18.698999999999998, 90.2]","(1.0990000000000002, 68.6]","(7.899, 437.7]","(8.4, 10.8]","(2.1990000000000003, 15.5]","(53.0, 100.0]","(0.399, 2.7]","(-0.001, 6.4]","(-0.001, 0.52]",1.3975139496259106,1.394347250322477,-0.24557528191118508,-0.9174085944253526,-1.7325185807641745,0.13268226538990008,-1.287049261165741,3.385382137871851,-1.2667825309833973,-0.059610551796353606,-0.19596394553190136,8.991647331786544
8,6,7,6,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,"(7.0, 9.0]","(5.0, 9.0]","(91.6, 92.9]","(68.6, 108.3]","(437.7, 664.2]","(10.8, 56.1]","(19.3, 22.8]","(14.999, 33.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",1.3975139496259106,1.394347250322477,0.29720905913353035,-0.38944667485808687,-0.20360146932250814,1.2449968632294874,0.5713032733817777,-0.9207428715970869,0.7624759607302503,-0.059610551796353606,-0.19596394553190136,8.991647331786544
8,6,7,0,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,"(7.0, 9.0]","(5.0, 9.0]","(91.6, 92.9]","(68.6, 108.3]","(437.7, 664.2]","(8.4, 10.8]","(22.8, 33.3]","(14.999, 33.0]","(2.7, 4.0]","(-0.001, 6.4]","(-0.001, 0.52]",1.3975139496259106,1.394347250322477,0.29720905913353035,-0.3335448245509645,-0.17348283260152136,-0.10722872630099126,0.8982356637188414,-1.0437750147247709,-0.5339947423090247,-0.059610551796353606,-0.19596394553190136,8.991647331786544
8,6,7,0,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,"(7.0, 9.0]","(5.0, 9.0]","(90.2, 91.6]","(142.4, 291.3]","(437.7, 664.2]","(8.4, 10.8]","(2.1990000000000003, 15.5]","(53.0, 100.0]","(0.399, 2.7]","(-0.001, 6.4]","(-0.001, 0.52]",1.3975139496259106,1.394347250322477,0.1524665681882734,0.5438036594358153,0.272748548290992,0.37259325708079144,-1.8720861701899596,2.5856732075419053,-1.0413093652374363,-0.059610551796353606,-0.19596394553190136,8.991647331786544
8,6,8,1,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,"(7.0, 9.0]","(5.0, 9.0]","(90.2, 91.6]","(108.3, 142.4]","(664.2, 713.9]","(6.5, 8.4]","(2.1990000000000003, 15.5]","(53.0, 100.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",1.3975139496259106,1.394347250322477,0.0620025113474875,0.2969038205793586,0.6072239350345809,-0.43438007860675226,-0.9945308066536315,1.1708035615735402,0.7624759607302503,-0.059610551796353606,-0.19596394553190136,8.991647331786544
7,5,8,5,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(91.6, 92.9]","(68.6, 108.3]","(664.2, 713.9]","(6.5, 8.4]","(19.3, 22.8]","(33.0, 42.0]","(2.7, 4.0]","(-0.001, 6.4]","(-0.001, 0.52]",0.9706333597685276,0.5596754935322165,0.3333946818698452,-0.3475202871277452,0.6310018061300967,-0.41256998845303494,0.67454508085664,-0.24406608439482524,-0.026680119380612804,-0.059610551796353606,-0.19596394553190136,8.991647331786544
7,5,8,5,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(91.6, 92.9]","(68.6, 108.3]","(664.2, 713.9]","(6.5, 8.4]","(15.5, 19.3]","(42.0, 53.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",0.9706333597685276,0.5596754935322165,0.3333946818698452,-0.3475202871277452,0.6310018061300967,-0.41256998845303494,-0.1858033147672112,0.43261070280743646,1.7771052065870738,-0.059610551796353606,-0.19596394553190136,8.991647331786544
7,5,8,5,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(91.6, 92.9]","(68.6, 108.3]","(664.2, 713.9]","(10.8, 56.1]","(15.5, 19.3]","(33.0, 42.0]","(2.7, 4.0]","(-0.001, 6.4]","(-0.001, 0.52]",0.9706333597685276,0.5596754935322165,0.38767311597431625,-0.5773390050570255,0.6880686967593346,2.9679939853731625,0.07230120391994416,-0.3670982275225092,-0.026680119380612804,-0.059610551796353606,-0.19596394553190136,8.991647331786544
6,5,7,4,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(18.698999999999998, 90.2]","(68.6, 108.3]","(664.2, 713.9]","(-0.001, 6.5]","(15.5, 19.3]","(53.0, 100.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",0.5437527699111445,0.5596754935322165,-4.913520614895737,-0.6146069052617738,0.49903462154998374,-1.786605668137231,-0.3234590580670275,1.7244482056481178,1.4952637494046228,-0.059610551796353606,-0.19596394553190136,8.991647331786544
6,5,8,0,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(90.2, 91.6]","(108.3, 142.4]","(664.2, 713.9]","(6.5, 8.4]","(19.3, 22.8]","(33.0, 42.0]","(0.399, 2.7]","(-0.001, 6.4]","(-0.001, 0.52]",0.5437527699111445,0.5596754935322165,0.04390969997933135,0.2503189453234234,0.583049766087473,-0.43438007860675226,0.41644056216948466,-0.1210339412671413,-1.0413093652374363,-0.059610551796353606,-0.19596394553190136,8.991647331786544
6,5,8,2,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(91.6, 92.9]","(108.3, 142.4]","(664.2, 713.9]","(8.4, 10.8]","(22.8, 33.3]","(14.999, 33.0]","(4.0, 4.9]","(-0.001, 6.4]","(-0.001, 0.52]",0.5437527699111445,0.5596754935322165,0.40576592734247496,0.35591132923687674,0.634964784646016,0.045441904775030406,1.2939959257058125,-1.4128714441078227,0.25516133780183825,-0.059610551796353606,-0.19596394553190136,8.991647331786544
5,5,2,5,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0,"(4.0, 7.0]","(4.0, 5.0]","(91.6, 92.9]","(1.0990000000000002, 68.6]","(7.899, 437.7]","(6.5, 8.4]","(2.1990000000000003, 15.5]","(14.999, 33.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",0.11687218005376147,0.5596754935322165,0.1886521909245883,-1.1580971165810179,-1.8173263210048474,-0.2598993573770131,-0.650391448404091,-1.0437750147247709,0.7624759607302503,-0.059610551796353606,-0.19596394553190136,8.991647331786544
8,5,9,0,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0,"(7.0, 9.0]","(4.0, 5.0]","(18.698999999999998, 90.2]","(1.0990000000000002, 68.6]","(437.7, 664.2]","(-0.001, 6.5]","(15.5, 19.3]","(42.0, 53.0]","(4.0, 4.9]","(-0.001, 6.4]","(-0.001, 0.52]",1.3975139496259106,0.5596754935322165,-1.0416589821100994,-1.2046819918369531,0.49467534518247286,-1.3067836847554484,-0.37507996180445874,0.18654641655206855,0.48063450354779924,-0.059610551796353606,-0.19596394553190136,8.991647331786544
6,4,2,2,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(18.698999999999998, 90.2]","(1.0990000000000002, 68.6]","(7.899, 437.7]","(-0.001, 6.5]","(15.5, 19.3]","(33.0, 42.0]","(2.7, 4.0]","(-0.001, 6.4]","(-0.001, 0.52]",0.5437527699111445,-0.2749962632580439,-0.26366809327934126,-1.2807706214216474,-1.8569561061640405,-0.5870507096827741,-0.5127357051042747,-0.5516464422140351,-0.026680119380612804,-0.059610551796353606,-0.19596394553190136,8.991647331786544
6,4,3,5,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(18.698999999999998, 90.2]","(1.0990000000000002, 68.6]","(7.899, 437.7]","(-0.001, 6.5]","(2.1990000000000003, 15.5]","(42.0, 53.0]","(4.0, 4.9]","(-0.001, 6.4]","(-0.001, 0.52]",0.5437527699111445,-0.2749962632580439,-0.7883596229559006,-1.2885347672976366,-1.7527297711953627,-0.8487717915273829,-1.6483955873277583,0.0019982018605426404,0.25516133780183825,-0.059610551796353606,-0.19596394553190136,8.991647331786544
6,4,8,1,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(90.2, 91.6]","(108.3, 142.4]","(664.2, 713.9]","(6.5, 8.4]","(15.5, 19.3]","(33.0, 42.0]","(0.399, 2.7]","(-0.001, 6.4]","(-0.001, 0.52]",0.5437527699111445,-0.2749962632580439,0.0620025113474875,0.2969038205793586,0.6072239350345809,-0.43438007860675226,-0.09976847520482608,-0.24406608439482524,-0.7594679080549854,-0.059610551796353606,-0.19596394553190136,8.991647331786544
5,4,8,0,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(91.6, 92.9]","(68.6, 108.3]","(713.9, 860.6]","(8.4, 10.8]","(15.5, 19.3]","(33.0, 42.0]","(0.399, 2.7]","(-0.001, 6.4]","(-0.001, 0.52]",0.11687218005376147,-0.2749962632580439,0.20674500229274442,-0.49503905877154003,0.7328503539892225,0.045441904775030406,0.03788726809499023,-0.3670982275225092,-0.7594679080549854,-0.059610551796353606,-0.19596394553190136,8.991647331786544
7,4,5,6,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(92.9, 96.2]","(68.6, 108.3]","(7.899, 437.7]","(10.8, 56.1]","(19.3, 22.8]","(42.0, 53.0]","(4.0, 4.9]","(-0.001, 6.4]","(-0.001, 0.52]",0.9706333597685276,-0.2749962632580439,0.659065286496674,-0.21863546558632446,-1.3449392819072667,10.274374186868492,0.36481965843205344,0.0019982018605426404,0.25516133780183825,-0.059610551796353606,-0.19596394553190136,8.991647331786544
7,4,7,5,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(18.698999999999998, 90.2]","(108.3, 142.4]","(437.7, 664.2]","(-0.001, 6.5]","(19.3, 22.8]","(42.0, 53.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",0.9706333597685276,-0.2749962632580439,-0.08273997959776944,0.00807759399256038,-0.007830330636094762,-0.6088607998364914,0.10671513974489809,-0.05951786970329933,0.9879491264762108,-0.059610551796353606,-0.19596394553190136,8.991647331786544
7,4,7,6,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(90.2, 91.6]","(108.3, 142.4]","(437.7, 664.2]","(8.4, 10.8]","(15.5, 19.3]","(53.0, 100.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",0.9706333597685276,-0.2749962632580439,0.13437375682011726,0.49721878417988014,0.24580029438274048,0.3507831669270741,-0.4439078334543666,0.9862553468820142,0.7624759607302503,-0.059610551796353606,-0.19596394553190136,8.991647331786544
7,4,8,4,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(91.6, 92.9]","(108.3, 142.4]","(664.2, 713.9]","(10.8, 56.1]","(15.5, 19.3]","(33.0, 42.0]","(4.9, 9.4]","(-0.001, 6.4]","(-0.001, 0.52]",0.9706333597685276,-0.2749962632580439,0.31530187050168906,0.11677563625640922,0.509734663542966,0.6997446093865525,0.020680300182512962,-0.6131625137778771,0.9879491264762108,-0.059610551796353606,-0.19596394553190136,8.991647331786544
7,4,8,0,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0,"(4.0, 7.0]","(1.999, 4.0]","(90.2, 91.6]","(108.3, 142.4]","(664.2, 713.9]","(6.5, 8.4]","(19.3, 22.8]","(42.0, 53.0]","(0.399, 2.7]","(-0.001, 6.4]","(-0.001, 0.52]",0.9706333597685276,-0.2749962632580439,0.04390969997933135,0.2503189453234234,0.583049766087473,-0.43438007860675226,0.08950817183242081,0.24806248811591053,-1.5486239881658486,-0.059610551796353606,-0.19596394553190136,8.991647331786544
